artifact_id,path,artifact_kind,role,authority,derived_from,dimension_claim,fabrication_required,notes
PARAM-001,parameters.csv,parameter_table,dimension_source,pending_measurement,,pending_measurement,true,"Existing parameter table from the blueprint packet. Use for prototype review only until dimensions are checked against real stock, fixtures, and measured build results."
SWPLAN-001,solidworks-plan.md,cad_plan,cad_authoring_plan,pending_measurement,parameters.csv,pending_measurement,true,"SolidWorks feature-tree and global-variable plan only. No native SolidWorks files exist in this repo yet."
CAD-PLACEHOLDER-001,cad/.gitkeep,cad_placeholder,cad_directory_stub,pending_measurement,solidworks-plan.md,pending_measurement,true,"Placeholder directory only; no CAD geometry was generated or reviewed in this migration lane."
DXFPLAN-001,flat-pattern-checklist.md,dxf_plan,flat_pattern_plan,pending_measurement,"parameters.csv; bend-table.csv; cut-list.csv",pending_measurement,true,"DXF layer/naming/checklist guidance. It contains planned flat-pattern requirements but is not an actual DXF."
DRAWINGS-PLACEHOLDER-001,drawings/.gitkeep,drawing_placeholder,drawing_directory_stub,pending_measurement,flat-pattern-checklist.md,pending_measurement,true,"Placeholder directory only; no DXF/SVG/PDF drawing files are present."
VISBRIEF-001,visual-bom-brief.md,visual_brief,concept_visual_direction,concept_only,bom.csv,none,false,"Art direction for future visual BOM/exploded view. Non-dimensional; not fabrication authority."
EXPLORER-001,explorer.html,html_packet_browser,packet_preview,derived_preview,"README.md; design.md; bom.csv; validation.csv",pending_measurement,false,"Interactive packet browser for review/navigation. It does not add CAD, DXF, measured acoustic data, or toolpath authority."
PHOTO-001,photo-shotlist.md,photo_plan,planned_reference_photos,reference_only,,none,false,"Shot list for future build/reference photos. No photos are committed in this repo at migration time."
WOLFRAM-001,bowed-frame-drum-starter.wl,wolfram_source,source_only_model,pending_measurement,"design.md; parameters.csv; validation.csv",pending_measurement,false,"Reviewable source-only acoustic model. Runtime execution and physical measurement comparison are not recorded."
PRINT-PLAN-001,visual-bom-brief.md,print_or_visual_plate_plan,planned_visual_output,concept_only,bom.csv,none,false,"Future visual BOM/packet illustration plan only; no generated image, render, or print plate was produced in this migration lane."
